"rank","movie.name","movie.cast","movie.link","year","votes","rating"
188,"Blade Runner 2049","Denis Villeneuve (dir.), Harrison Ford, Ryan Gosling","http://www.imdb.com/title/tt1856101/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_188","2017",289961,8.1
189,"O Mart<U+00ED>rio de Joana D'Arc","Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain","http://www.imdb.com/title/tt0019254/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_189","1928",36417,8.1
190,"Rede de Intrigas","Sidney Lumet (dir.), Faye Dunaway, William Holden","http://www.imdb.com/title/tt0074958/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_190","1976",122743,8.1
191,"Conta Comigo","Rob Reiner (dir.), Wil Wheaton, River Phoenix","http://www.imdb.com/title/tt0092005/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_191","1986",314909,8.1
192,"O Grande Hotel Budapeste","Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham","http://www.imdb.com/title/tt2278388/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_192","2014",585635,8.1
193,"Hotel Ruanda","Terry George (dir.), Don Cheadle, Sophie Okonedo","http://www.imdb.com/title/tt0395169/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_193","2004",299306,8.1
194,"Jurassic Park: O Parque dos Dinossauros","Steven Spielberg (dir.), Sam Neill, Laura Dern","http://www.imdb.com/title/tt0107290/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_194","1993",721539,8.1
195,"O Sal<U+00E1>rio do Medo","Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel","http://www.imdb.com/title/tt0046268/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_195","1953",44785,8.1
196,"Stalker","Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy","http://www.imdb.com/title/tt0079944/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_196","1979",88378,8.1
197,"Ben-Hur","William Wyler (dir.), Charlton Heston, Jack Hawkins","http://www.imdb.com/title/tt0052618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_197","1959",189840,8.1
198,"Rush: No Limite da Emo<U+00E7><U+00E3>o","Ron Howard (dir.), Daniel Br<U+00FC>hl, Chris Hemsworth","http://www.imdb.com/title/tt1979320/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_198","2013",369125,8.1
199,"Quando Duas Mulheres Pecam","Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann","http://www.imdb.com/title/tt0060827/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_199","1966",78568,8.1
200,"Mem<U+00F3>rias de um Assassino","Joon-ho Bong (dir.), Kang-ho Song, Sang-kyung Kim","http://www.imdb.com/title/tt0353969/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_200","2003",89596,8.1
201,"O Show de Truman","Peter Weir (dir.), Jim Carrey, Ed Harris","http://www.imdb.com/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_201","1998",778934,8.1
202,"12 Anos de Escravid<U+00E3>o","Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams","http://www.imdb.com/title/tt2024544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_202","2013",535560,8.1
203,"Menina de Ouro","Clint Eastwood (dir.), Hilary Swank, Clint Eastwood","http://www.imdb.com/title/tt0405159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_203","2004",554102,8.1
204,"Os Incompreendidos","Fran<U+00E7>ois Truffaut (dir.), Jean-Pierre L<U+00E9>aud, Albert R<U+00E9>my","http://www.imdb.com/title/tt0053198/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_204","1959",85642,8.1
205,"Mad Max: Estrada da F<U+00FA>ria","George Miller (dir.), Tom Hardy, Charlize Theron","http://www.imdb.com/title/tt1392190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_205","2015",710636,8.1
206,"Spotlight: Segredos Revelados","Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton","http://www.imdb.com/title/tt1895587/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_206","2015",322513,8.1
207,"Logan","James Mangold (dir.), Hugh Jackman, Patrick Stewart","http://www.imdb.com/title/tt3315342/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_207","2017",477661,8.1
208,"Amores Brutos","Alejandro G. I<U+00F1><U+00E1>rritu (dir.), Emilio Echevarr<U+00ED>a, Gael Garc<U+00ED>a Bernal","http://www.imdb.com/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208","2000",197362,8.1
209,"Antes do Amanhecer","Richard Linklater (dir.), Ethan Hawke, Julie Delpy","http://www.imdb.com/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209","1995",220674,8.1
210,"Sempre ao Seu Lado","Lasse Hallstr<U+00F6>m (dir.), Richard Gere, Joan Allen","http://www.imdb.com/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210","2009",203419,8.1
211,"Butch Cassidy","George Roy Hill (dir.), Paul Newman, Robert Redford","http://www.imdb.com/title/tt0064115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211","1969",176443,8.1
212,"Os Suspeitos","Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal","http://www.imdb.com/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212","2013",483052,8.1
213,"A Princesa Prometida","Rob Reiner (dir.), Cary Elwes, Mandy Patinkin","http://www.imdb.com/title/tt0093779/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213","1987",336693,8.1
214,"Nausica<U+00E4> do Vale do Vento","Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura","http://www.imdb.com/title/tt0087544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214","1984",118422,8
215,"La La Land: Cantando Esta<U+00E7><U+00F5>es","Damien Chazelle (dir.), Ryan Gosling, Emma Stone","http://www.imdb.com/title/tt3783958/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215","2016",370806,8
216,"Prenda-me Se For Capaz","Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks","http://www.imdb.com/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216","2002",653933,8
217,"Harry Potter e as Rel<U+00ED>quias da Morte: Parte 2","David Yates (dir.), Daniel Radcliffe, Emma Watson","http://www.imdb.com/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_217","2011",642003,8
218,"Rel<U+00ED>quia Macabra (O Falc<U+00E3>o Malt<U+00EA>s)","John Huston (dir.), Humphrey Bogart, Mary Astor","http://www.imdb.com/title/tt0033870/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_218","1941",132729,8
219,"Rocky: Um Lutador","John G. Avildsen (dir.), Sylvester Stallone, Talia Shire","http://www.imdb.com/title/tt0075148/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_219","1976",440795,8
220,"A Wednesday","Neeraj Pandey (dir.), Anupam Kher, Naseeruddin Shah","http://www.imdb.com/title/tt1280558/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_220","2008",62325,8
221,"Vinhas da Ira","John Ford (dir.), Henry Fonda, Jane Darwell","http://www.imdb.com/title/tt0032551/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_221","1940",76211,8
222,"Noites de Cab<U+00ED>ria","Federico Fellini (dir.), Giulietta Masina, Fran<U+00E7>ois P<U+00E9>rier","http://www.imdb.com/title/tt0050783/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_222","1957",35610,8
223,"Monstros S.A.","Pete Docter (dir.), Billy Crystal, John Goodman","http://www.imdb.com/title/tt0198781/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_223","2001",686197,8
224,"Barry Lyndon","Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson","http://www.imdb.com/title/tt0072684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_224","1975",122157,8
225,"As Diab<U+00F3>licas","Henri-Georges Clouzot (dir.), Simone Signoret, V<U+00E9>ra Clouzot","http://www.imdb.com/title/tt0046911/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_225","1955",52561,8
226,"Donnie Darko","Richard Kelly (dir.), Jake Gyllenhaal, Jena Malone","http://www.imdb.com/title/tt0246578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_226","2001",662498,8
227,"Gandhi","Richard Attenborough (dir.), Ben Kingsley, John Gielgud","http://www.imdb.com/title/tt0083987/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_227","1982",197497,8
228,"Lua de Papel","Peter Bogdanovich (dir.), Ryan O'Neal, Tatum O'Neal","http://www.imdb.com/title/tt0070510/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_228","1973",33411,8
229,"O Exterminador do Futuro","James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton","http://www.imdb.com/title/tt0088247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_229","1984",685971,8
230,"A Marca da Maldade","Orson Welles (dir.), Charlton Heston, Orson Welles","http://www.imdb.com/title/tt0052311/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_230","1958",86077,8
231,"O <U+00D3>dio","Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Kound<U+00E9>","http://www.imdb.com/title/tt0113247/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_231","1995",123839,8
232,"Feiti<U+00E7>o do Tempo","Harold Ramis (dir.), Bill Murray, Andie MacDowell","http://www.imdb.com/title/tt0107048/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_232","1993",509290,8
233,"O M<U+00E1>gico de Oz","Victor Fleming (dir.), Judy Garland, Frank Morgan","http://www.imdb.com/title/tt0032138/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_233","1939",332473,8
234,"Sociedade dos Poetas Mortos","Peter Weir (dir.), Robin Williams, Robert Sean Leonard","http://www.imdb.com/title/tt0097165/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_234","1989",331245,8
235,"O Ultimato Bourne","Paul Greengrass (dir.), Matt Damon, Edgar Ram<U+00ED>rez","http://www.imdb.com/title/tt0440963/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_235","2007",558197,8
236,"Noivo Neur<U+00F3>tico, Noiva Nervosa","Woody Allen (dir.), Woody Allen, Diane Keaton","http://www.imdb.com/title/tt0075686/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_236","1977",226336,8
237,"Tubar<U+00E3>o","Steven Spielberg (dir.), Roy Scheider, Robert Shaw","http://www.imdb.com/title/tt0073195/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_237","1975",478298,8
238,"8<U+00BD>","Federico Fellini (dir.), Marcello Mastroianni, Anouk Aim<U+00E9>e","http://www.imdb.com/title/tt0056801/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_238","1963",93843,8
239,"Amor <U+00E0> Flor da Pele","Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung","http://www.imdb.com/title/tt0118694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_239","2000",95937,8
240,"Hist<U+00F3>rias Cruzadas","Tate Taylor (dir.), Emma Stone, Viola Davis","http://www.imdb.com/title/tt1454029/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_240","2011",369435,8
241,"Paris, Texas","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski","http://www.imdb.com/title/tt0087884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_241","1984",66131,8
242,"Conflitos Internos","Wai-Keung Lau (dir.), Andy Lau, Tony Chiu-Wai Leung","http://www.imdb.com/title/tt0338564/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_242","2002",107262,8
243,"Os 12 Macacos","Terry Gilliam (dir.), Bruce Willis, Madeleine Stowe","http://www.imdb.com/title/tt0114746/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_243","1995",520367,8
244,"Antes do P<U+00F4>r-do-Sol","Richard Linklater (dir.), Ethan Hawke, Julie Delpy","http://www.imdb.com/title/tt0381681/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_244","2004",192681,8
245,"Gangues de Wasseypur","Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha","http://www.imdb.com/title/tt1954470/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_245","2012",61496,8
246,"Tangerinas","Zaza Urushadze (dir.), Lembit Ulfsak, Elmo N<U+00FC>ganen","http://www.imdb.com/title/tt2991224/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_246","2013",28032,8
247,"Guardi<U+00F5>es da Gal<U+00E1>xia","James Gunn (dir.), Chris Pratt, Vin Diesel","http://www.imdb.com/title/tt2015381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_247","2014",838180,8
248,"Os Melhores Anos de Nossa Vida","William Wyler (dir.), Myrna Loy, Dana Andrews","http://www.imdb.com/title/tt0036868/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_248","1946",49981,8
249,"A Bela e a Fera","Gary Trousdale (dir.), Paige O'Hara, Robby Benson","http://www.imdb.com/title/tt0101414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_249","1991",366147,8
250,"Piratas do Caribe: A Maldi<U+00E7><U+00E3>o do P<U+00E9>rola Negra","Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush","http://www.imdb.com/title/tt0325980/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=7D3N36KY30MZE4N1WGZ5&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250","2003",915228,8
